data,valor,indicador
1999-04-01,1508.55,ipca
1999-05-01,1513.08,ipca
1999-06-01,1515.95,ipca
1999-07-01,1532.47,ipca
1999-08-01,1541.05,ipca
1999-09-01,1545.83,ipca
1999-10-01,1564.23,ipca
1999-11-01,1579.09,ipca
1999-12-01,1588.56,ipca
2000-01-01,1598.41,ipca
2000-02-01,1600.49,ipca
2000-03-01,1604.01,ipca
2000-04-01,1610.75,ipca
2000-05-01,1610.91,ipca
2000-06-01,1614.62,ipca
2000-07-01,1640.62,ipca
2000-08-01,1662.11,ipca
2000-09-01,1665.93,ipca
2000-10-01,1668.26,ipca
2000-11-01,1673.6,ipca
2000-12-01,1683.47,ipca
2001-01-01,1693.07,ipca
2001-02-01,1700.86,ipca
2001-03-01,1707.32,ipca
2001-04-01,1717.22,ipca
2001-05-01,1724.26,ipca
2001-06-01,1733.23,ipca
2001-07-01,1756.28,ipca
2001-08-01,1768.57,ipca
2001-09-01,1773.52,ipca
2001-10-01,1788.24,ipca
2001-11-01,1800.94,ipca
2001-12-01,1812.65,ipca
2002-01-01,1822.08,ipca
2002-02-01,1828.64,ipca
2002-03-01,1839.61,ipca
2002-04-01,1854.33,ipca
2002-05-01,1858.22,ipca
2002-06-01,1866.02,ipca
2002-07-01,1888.23,ipca
2002-08-01,1900.5,ipca
2002-09-01,1914.18,ipca
2002-10-01,1939.26,ipca
2002-11-01,1997.83,ipca
2002-12-01,2039.78,ipca
2003-01-01,2085.68,ipca
2003-02-01,2118.43,ipca
2003-03-01,2144.49,ipca
2003-04-01,2165.29,ipca
2003-05-01,2178.5,ipca
2003-06-01,2175.23,ipca
2003-07-01,2179.58,ipca
2003-08-01,2186.99,ipca
2003-09-01,2204.05,ipca
2003-10-01,2210.44,ipca
2003-11-01,2217.96,ipca
2003-12-01,2229.49,ipca
2004-01-01,2246.43,ipca
2004-02-01,2260.13,ipca
2004-03-01,2270.75,ipca
2004-04-01,2279.15,ipca
2004-05-01,2290.77,ipca
2004-06-01,2307.03,ipca
2004-07-01,2328.02,ipca
2004-08-01,2344.08,ipca
2004-09-01,2351.82,ipca
2004-10-01,2362.17,ipca
2004-11-01,2378.47,ipca
2004-12-01,2398.92,ipca
2005-01-01,2412.83,ipca
2005-02-01,2427.07,ipca
2005-03-01,2441.87,ipca
2005-04-01,2463.11,ipca
2005-05-01,2475.18,ipca
2005-06-01,2474.68,ipca
2005-07-01,2480.87,ipca
2005-08-01,2485.09,ipca
2005-09-01,2493.79,ipca
2005-10-01,2512.49,ipca
2005-11-01,2526.31,ipca
2005-12-01,2535.4,ipca
2006-01-01,2550.36,ipca
2006-02-01,2560.82,ipca
2006-03-01,2571.83,ipca
2006-04-01,2577.23,ipca
2006-05-01,2579.81,ipca
2006-06-01,2574.39,ipca
2006-07-01,2579.28,ipca
2006-08-01,2580.57,ipca
2006-09-01,2585.99,ipca
2006-10-01,2594.52,ipca
2006-11-01,2602.56,ipca
2006-12-01,2615.05,ipca
2007-01-01,2626.56,ipca
2007-02-01,2638.12,ipca
2007-03-01,2647.88,ipca
2007-04-01,2654.5,ipca
2007-05-01,2661.93,ipca
2007-06-01,2669.38,ipca
2007-07-01,2675.79,ipca
2007-08-01,2688.37,ipca
2007-09-01,2693.21,ipca
2007-10-01,2701.29,ipca
2007-11-01,2711.55,ipca
2007-12-01,2731.62,ipca
2008-01-01,2746.37,ipca
2008-02-01,2759.83,ipca
2008-03-01,2773.08,ipca
2008-04-01,2788.33,ipca
2008-05-01,2810.36,ipca
2008-06-01,2831.16,ipca
2008-07-01,2846.16,ipca
2008-08-01,2854.13,ipca
2008-09-01,2861.55,ipca
2008-10-01,2874.43,ipca
2008-11-01,2884.78,ipca
2008-12-01,2892.86,ipca
2009-01-01,2906.74,ipca
2009-02-01,2922.73,ipca
2009-03-01,2928.57,ipca
2009-04-01,2942.63,ipca
2009-05-01,2956.46,ipca
2009-06-01,2967.1,ipca
2009-07-01,2974.22,ipca
2009-08-01,2978.68,ipca
2009-09-01,2985.83,ipca
2009-10-01,2994.19,ipca
2009-11-01,3006.47,ipca
2009-12-01,3017.59,ipca
2010-01-01,3040.22,ipca
2010-02-01,3063.93,ipca
2010-03-01,3079.86,ipca
2010-04-01,3097.42,ipca
2010-05-01,3110.74,ipca
2010-06-01,3110.74,ipca
2010-07-01,3111.05,ipca
2010-08-01,3112.29,ipca
2010-09-01,3126.29,ipca
2010-10-01,3149.74,ipca
2010-11-01,3175.88,ipca
2010-12-01,3195.89,ipca
2011-01-01,3222.42,ipca
2011-02-01,3248.2,ipca
2011-03-01,3273.86,ipca
2011-04-01,3299.07,ipca
2011-05-01,3314.58,ipca
2011-06-01,3319.55,ipca
2011-07-01,3324.86,ipca
2011-08-01,3337.16,ipca
2011-09-01,3354.85,ipca
2011-10-01,3369.28,ipca
2011-11-01,3386.8,ipca
2011-12-01,3403.73,ipca
2012-01-01,3422.79,ipca
2012-02-01,3438.19,ipca
2012-03-01,3445.41,ipca
2012-04-01,3467.46,ipca
2012-05-01,3479.94,ipca
2012-06-01,3482.72,ipca
2012-07-01,3497.7,ipca
2012-08-01,3512.04,ipca
2012-09-01,3532.06,ipca
2012-10-01,3552.9,ipca
2012-11-01,3574.22,ipca
2012-12-01,3602.46,ipca
2013-01-01,3633.44,ipca
2013-02-01,3655.24,ipca
2013-03-01,3672.42,ipca
2013-04-01,3692.62,ipca
2013-05-01,3706.28,ipca
2013-06-01,3715.92,ipca
2013-07-01,3717.03,ipca
2013-08-01,3725.95,ipca
2013-09-01,3738.99,ipca
2013-10-01,3760.3,ipca
2013-11-01,3780.61,ipca
2013-12-01,3815.39,ipca
2014-01-01,3836.37,ipca
2014-02-01,3862.84,ipca
2014-03-01,3898.38,ipca
2014-04-01,3924.5,ipca
2014-05-01,3942.55,ipca
2014-06-01,3958.32,ipca
2014-07-01,3958.72,ipca
2014-08-01,3968.62,ipca
2014-09-01,3991.24,ipca
2014-10-01,4008,ipca
2014-11-01,4028.44,ipca
2014-12-01,4059.86,ipca
2015-01-01,4110.2,ipca
2015-02-01,4160.34,ipca
2015-03-01,4215.26,ipca
2015-04-01,4245.19,ipca
2015-05-01,4276.6,ipca
2015-06-01,4310.39,ipca
2015-07-01,4337.11,ipca
2015-08-01,4346.65,ipca
2015-09-01,4370.12,ipca
2015-10-01,4405.95,ipca
2015-11-01,4450.45,ipca
2015-12-01,4493.17,ipca
