data,grupo,valor
2022-07-01,1.Alimentação e bebidas,1.3
2022-07-01,2.Habitação,-1.05
2022-07-01,3.Artigos de residência,0.12
2022-07-01,4.Vestuário,0.58
2022-07-01,5.Transportes,-4.51
2022-07-01,6.Saúde e cuidados pessoais,0.49
2022-07-01,7.Despesas pessoais,1.13
2022-07-01,8.Educação,0.06
2022-07-01,9.Comunicação,0.07
2022-08-01,1.Alimentação e bebidas,0.24
2022-08-01,2.Habitação,0.1
2022-08-01,3.Artigos de residência,0.42
2022-08-01,4.Vestuário,1.69
2022-08-01,5.Transportes,-3.37
2022-08-01,6.Saúde e cuidados pessoais,1.31
2022-08-01,7.Despesas pessoais,0.54
2022-08-01,8.Educação,0.61
2022-08-01,9.Comunicação,-1.1
2022-09-01,1.Alimentação e bebidas,-0.51
2022-09-01,2.Habitação,0.6
2022-09-01,3.Artigos de residência,-0.13
2022-09-01,4.Vestuário,1.77
2022-09-01,5.Transportes,-1.98
2022-09-01,6.Saúde e cuidados pessoais,0.57
2022-09-01,7.Despesas pessoais,0.95
2022-09-01,8.Educação,0.12
2022-09-01,9.Comunicação,-2.08
2022-10-01,1.Alimentação e bebidas,0.72
2022-10-01,2.Habitação,0.34
2022-10-01,3.Artigos de residência,0.39
2022-10-01,4.Vestuário,1.22
2022-10-01,5.Transportes,0.58
2022-10-01,6.Saúde e cuidados pessoais,1.16
2022-10-01,7.Despesas pessoais,0.57
2022-10-01,8.Educação,0.18
2022-10-01,9.Comunicação,-0.48
2022-11-01,1.Alimentação e bebidas,0.53
2022-11-01,2.Habitação,0.51
2022-11-01,3.Artigos de residência,-0.68
2022-11-01,4.Vestuário,1.1
2022-11-01,5.Transportes,0.83
2022-11-01,6.Saúde e cuidados pessoais,0.02
2022-11-01,7.Despesas pessoais,0.21
2022-11-01,8.Educação,0.02
2022-11-01,9.Comunicação,-0.14
2022-12-01,1.Alimentação e bebidas,0.66
2022-12-01,2.Habitação,0.2
2022-12-01,3.Artigos de residência,0.64
2022-12-01,4.Vestuário,1.52
2022-12-01,5.Transportes,0.21
2022-12-01,6.Saúde e cuidados pessoais,1.6
2022-12-01,7.Despesas pessoais,0.62
2022-12-01,8.Educação,0.19
2022-12-01,9.Comunicação,0.5
2023-01-01,1.Alimentação e bebidas,0.59
2023-01-01,2.Habitação,0.33
2023-01-01,3.Artigos de residência,0.7
2023-01-01,4.Vestuário,-0.27
2023-01-01,5.Transportes,0.55
2023-01-01,6.Saúde e cuidados pessoais,0.16
2023-01-01,7.Despesas pessoais,0.76
2023-01-01,8.Educação,0.36
2023-01-01,9.Comunicação,2.09
2023-02-01,1.Alimentação e bebidas,0.16
2023-02-01,2.Habitação,0.82
2023-02-01,3.Artigos de residência,0.11
2023-02-01,4.Vestuário,-0.24
2023-02-01,5.Transportes,0.37
2023-02-01,6.Saúde e cuidados pessoais,1.26
2023-02-01,7.Despesas pessoais,0.44
2023-02-01,8.Educação,6.28
2023-02-01,9.Comunicação,0.98
2023-03-01,1.Alimentação e bebidas,0.05
2023-03-01,2.Habitação,0.57
2023-03-01,3.Artigos de residência,-0.27
2023-03-01,4.Vestuário,0.31
2023-03-01,5.Transportes,2.11
2023-03-01,6.Saúde e cuidados pessoais,0.82
2023-03-01,7.Despesas pessoais,0.38
2023-03-01,8.Educação,0.1
2023-03-01,9.Comunicação,0.5
2023-04-01,1.Alimentação e bebidas,0.71
2023-04-01,2.Habitação,0.48
2023-04-01,3.Artigos de residência,0.17
2023-04-01,4.Vestuário,0.79
2023-04-01,5.Transportes,0.56
2023-04-01,6.Saúde e cuidados pessoais,1.49
2023-04-01,7.Despesas pessoais,0.18
2023-04-01,8.Educação,0.09
2023-04-01,9.Comunicação,0.08
2023-05-01,1.Alimentação e bebidas,0.16
2023-05-01,2.Habitação,0.67
2023-05-01,3.Artigos de residência,-0.23
2023-05-01,4.Vestuário,0.47
2023-05-01,5.Transportes,-0.57
2023-05-01,6.Saúde e cuidados pessoais,0.93
2023-05-01,7.Despesas pessoais,0.64
2023-05-01,8.Educação,0.05
2023-05-01,9.Comunicação,0.21
2023-06-01,1.Alimentação e bebidas,-0.66
2023-06-01,2.Habitação,0.69
2023-06-01,3.Artigos de residência,-0.42
2023-06-01,4.Vestuário,0.35
2023-06-01,5.Transportes,-0.41
2023-06-01,6.Saúde e cuidados pessoais,0.11
2023-06-01,7.Despesas pessoais,0.36
2023-06-01,8.Educação,0.06
2023-06-01,9.Comunicação,-0.14
2023-07-01,1.Alimentação e bebidas,-0.46
2023-07-01,2.Habitação,-1.01
2023-07-01,3.Artigos de residência,0.04
2023-07-01,4.Vestuário,-0.24
2023-07-01,5.Transportes,1.5
2023-07-01,6.Saúde e cuidados pessoais,0.26
2023-07-01,7.Despesas pessoais,0.38
2023-07-01,8.Educação,0.13
2023-07-01,9.Comunicação,0
2023-08-01,1.Alimentação e bebidas,-0.85
2023-08-01,2.Habitação,1.11
2023-08-01,3.Artigos de residência,-0.04
2023-08-01,4.Vestuário,0.54
2023-08-01,5.Transportes,0.34
2023-08-01,6.Saúde e cuidados pessoais,0.58
2023-08-01,7.Despesas pessoais,0.38
2023-08-01,8.Educação,0.69
2023-08-01,9.Comunicação,-0.09
2023-09-01,1.Alimentação e bebidas,-0.71
2023-09-01,2.Habitação,0.47
2023-09-01,3.Artigos de residência,-0.58
2023-09-01,4.Vestuário,0.38
2023-09-01,5.Transportes,1.4
2023-09-01,6.Saúde e cuidados pessoais,0.04
2023-09-01,7.Despesas pessoais,0.45
2023-09-01,8.Educação,0.05
2023-09-01,9.Comunicação,-0.11
2023-10-01,1.Alimentação e bebidas,0.31
2023-10-01,2.Habitação,0.02
2023-10-01,3.Artigos de residência,0.46
2023-10-01,4.Vestuário,0.45
2023-10-01,5.Transportes,0.35
2023-10-01,6.Saúde e cuidados pessoais,0.32
2023-10-01,7.Despesas pessoais,0.27
2023-10-01,8.Educação,0.05
2023-10-01,9.Comunicação,-0.19
2023-11-01,1.Alimentação e bebidas,0.63
2023-11-01,2.Habitação,0.48
2023-11-01,3.Artigos de residência,-0.42
2023-11-01,4.Vestuário,-0.35
2023-11-01,5.Transportes,0.27
2023-11-01,6.Saúde e cuidados pessoais,0.08
2023-11-01,7.Despesas pessoais,0.58
2023-11-01,8.Educação,0.02
2023-11-01,9.Comunicação,-0.5
2023-12-01,1.Alimentação e bebidas,1.11
2023-12-01,2.Habitação,0.34
2023-12-01,3.Artigos de residência,0.76
2023-12-01,4.Vestuário,0.7
2023-12-01,5.Transportes,0.48
2023-12-01,6.Saúde e cuidados pessoais,0.35
2023-12-01,7.Despesas pessoais,0.48
2023-12-01,8.Educação,0.24
2023-12-01,9.Comunicação,0.04
2024-01-01,1.Alimentação e bebidas,1.38
2024-01-01,2.Habitação,0.25
2024-01-01,3.Artigos de residência,0.22
2024-01-01,4.Vestuário,0.14
2024-01-01,5.Transportes,-0.65
2024-01-01,6.Saúde e cuidados pessoais,0.83
2024-01-01,7.Despesas pessoais,0.82
2024-01-01,8.Educação,0.33
2024-01-01,9.Comunicação,-0.08
2024-02-01,1.Alimentação e bebidas,0.95
2024-02-01,2.Habitação,0.27
2024-02-01,3.Artigos de residência,-0.07
2024-02-01,4.Vestuário,-0.44
2024-02-01,5.Transportes,0.72
2024-02-01,6.Saúde e cuidados pessoais,0.65
2024-02-01,7.Despesas pessoais,0.05
2024-02-01,8.Educação,4.98
2024-02-01,9.Comunicação,1.56
2024-03-01,1.Alimentação e bebidas,0.53
2024-03-01,2.Habitação,0.19
2024-03-01,3.Artigos de residência,-0.04
2024-03-01,4.Vestuário,0.03
2024-03-01,5.Transportes,-0.33
