data,grupo,valor
2022-08-01,5.Transportes,-3.24
2022-08-01,6.Saúde e cuidados pessoais,1.6
2022-08-01,7.Despesas pessoais,0.49
2022-08-01,8.Educação,0.65
2022-08-01,9.Comunicação,-1.05
2022-09-01,1.Alimentação e bebidas,-0.51
2022-09-01,2.Habitação,0.72
2022-09-01,3.Artigos de residência,-0.07
2022-09-01,4.Vestuário,1.81
2022-09-01,5.Transportes,-2.09
2022-09-01,6.Saúde e cuidados pessoais,0.49
2022-09-01,7.Despesas pessoais,0.89
2022-09-01,8.Educação,0.11
2022-09-01,9.Comunicação,-2.48
2022-10-01,1.Alimentação e bebidas,0.6
2022-10-01,2.Habitação,0.4
2022-10-01,3.Artigos de residência,0.32
2022-10-01,4.Vestuário,1.31
2022-10-01,5.Transportes,-0.01
2022-10-01,6.Saúde e cuidados pessoais,1.35
2022-10-01,7.Despesas pessoais,0.52
2022-10-01,8.Educação,0.16
2022-10-01,9.Comunicação,-0.7
2022-11-01,1.Alimentação e bebidas,0.55
2022-11-01,2.Habitação,0.43
2022-11-01,3.Artigos de residência,-0.63
2022-11-01,4.Vestuário,1.09
2022-11-01,5.Transportes,0.93
2022-11-01,6.Saúde e cuidados pessoais,-0.4
2022-11-01,7.Despesas pessoais,0.24
2022-11-01,8.Educação,0.07
2022-11-01,9.Comunicação,-0.29
2022-12-01,1.Alimentação e bebidas,0.74
2022-12-01,2.Habitação,0.26
2022-12-01,3.Artigos de residência,0.59
2022-12-01,4.Vestuário,1.53
2022-12-01,5.Transportes,0.13
2022-12-01,6.Saúde e cuidados pessoais,2.08
2022-12-01,7.Despesas pessoais,0.75
2022-12-01,8.Educação,0.21
2022-12-01,9.Comunicação,0.44
2023-01-01,1.Alimentação e bebidas,0.52
2023-01-01,2.Habitação,0.19
2023-01-01,3.Artigos de residência,0.71
2023-01-01,4.Vestuário,-0.27
2023-01-01,5.Transportes,0.65
2023-01-01,6.Saúde e cuidados pessoais,-0.24
2023-01-01,7.Despesas pessoais,0.81
2023-01-01,8.Educação,0.41
2023-01-01,9.Comunicação,2.07
2023-02-01,1.Alimentação e bebidas,0.04
2023-02-01,2.Habitação,0.9
2023-02-01,3.Artigos de residência,0.13
2023-02-01,4.Vestuário,-0.17
2023-02-01,5.Transportes,0.6
2023-02-01,6.Saúde e cuidados pessoais,1.61
2023-02-01,7.Despesas pessoais,0.37
2023-02-01,8.Educação,5.9
2023-02-01,9.Comunicação,0.87
2023-03-01,1.Alimentação e bebidas,-0.07
2023-03-01,2.Habitação,0.54
2023-03-01,3.Artigos de residência,-0.27
2023-03-01,4.Vestuário,0.24
2023-03-01,5.Transportes,2.23
2023-03-01,6.Saúde e cuidados pessoais,0.72
2023-03-01,7.Despesas pessoais,0.29
2023-03-01,8.Educação,0.14
2023-03-01,9.Comunicação,0.44
2023-04-01,1.Alimentação e bebidas,0.61
2023-04-01,2.Habitação,0.46
2023-04-01,3.Artigos de residência,0.17
2023-04-01,4.Vestuário,0.75
2023-04-01,5.Transportes,0.41
2023-04-01,6.Saúde e cuidados pessoais,1.3
2023-04-01,7.Despesas pessoais,0.16
2023-04-01,8.Educação,0.12
2023-04-01,9.Comunicação,0.06
2023-05-01,1.Alimentação e bebidas,0.16
2023-05-01,2.Habitação,0.78
2023-05-01,3.Artigos de residência,-0.23
2023-05-01,4.Vestuário,0.52
2023-05-01,5.Transportes,-0.14
2023-05-01,6.Saúde e cuidados pessoais,1.02
2023-05-01,7.Despesas pessoais,0.88
2023-05-01,8.Educação,0.06
2023-05-01,9.Comunicação,0.24
2023-06-01,1.Alimentação e bebidas,-0.66
2023-06-01,2.Habitação,0.51
2023-06-01,3.Artigos de residência,-0.34
2023-06-01,4.Vestuário,0.31
2023-06-01,5.Transportes,-0.34
2023-06-01,6.Saúde e cuidados pessoais,0.15
2023-06-01,7.Despesas pessoais,0.35
2023-06-01,8.Educação,0.07
2023-06-01,9.Comunicação,-0.16
2023-07-01,1.Alimentação e bebidas,-0.59
2023-07-01,2.Habitação,-1.16
2023-07-01,3.Artigos de residência,0.04
2023-07-01,4.Vestuário,-0.24
2023-07-01,5.Transportes,1.17
2023-07-01,6.Saúde e cuidados pessoais,0.1
2023-07-01,7.Despesas pessoais,0.35
2023-07-01,8.Educação,0.18
2023-07-01,9.Comunicação,-0.02
2023-08-01,1.Alimentação e bebidas,-0.91
2023-08-01,2.Habitação,1.22
2023-08-01,3.Artigos de residência,-0.07
2023-08-01,4.Vestuário,0.55
2023-08-01,5.Transportes,0.37
2023-08-01,6.Saúde e cuidados pessoais,0.57
2023-08-01,7.Despesas pessoais,0.29
2023-08-01,8.Educação,0.73
2023-08-01,9.Comunicação,-0.11
2023-09-01,1.Alimentação e bebidas,-0.74
2023-09-01,2.Habitação,0.44
2023-09-01,3.Artigos de residência,-0.57
2023-09-01,4.Vestuário,0.38
2023-09-01,5.Transportes,1.07
2023-09-01,6.Saúde e cuidados pessoais,-0.16
2023-09-01,7.Despesas pessoais,0.41
2023-09-01,8.Educação,0.03
2023-09-01,9.Comunicação,-0.14
2023-10-01,1.Alimentação e bebidas,0.23
2023-10-01,2.Habitação,0.01
2023-10-01,3.Artigos de residência,0.28
2023-10-01,4.Vestuário,0.51
2023-10-01,5.Transportes,-0.05
2023-10-01,6.Saúde e cuidados pessoais,0.23
2023-10-01,7.Despesas pessoais,0.21
2023-10-01,8.Educação,0.06
2023-10-01,9.Comunicação,-0.23
2023-11-01,1.Alimentação e bebidas,0.57
2023-11-01,2.Habitação,0.42
2023-11-01,3.Artigos de residência,-0.5
2023-11-01,4.Vestuário,-0.33
2023-11-01,5.Transportes,-0.3
2023-11-01,6.Saúde e cuidados pessoais,-0.23
2023-11-01,7.Despesas pessoais,0.55
2023-11-01,8.Educação,0.04
2023-11-01,9.Comunicação,-0.52
2023-12-01,1.Alimentação e bebidas,1.2
2023-12-01,2.Habitação,0.34
2023-12-01,3.Artigos de residência,0.64
2023-12-01,4.Vestuário,0.7
2023-12-01,5.Transportes,0.24
2023-12-01,6.Saúde e cuidados pessoais,0.27
2023-12-01,7.Despesas pessoais,0.56
2023-12-01,8.Educação,0.22
2023-12-01,9.Comunicação,0.11
2024-01-01,1.Alimentação e bebidas,1.51
2024-01-01,2.Habitação,0.16
2024-01-01,3.Artigos de residência,0.24
2024-01-01,4.Vestuário,0.12
2024-01-01,5.Transportes,-0.1
2024-01-01,6.Saúde e cuidados pessoais,0.81
2024-01-01,7.Despesas pessoais,0.99
2024-01-01,8.Educação,0.44
2024-01-01,9.Comunicação,-0.1
2024-02-01,1.Alimentação e bebidas,0.95
2024-02-01,2.Habitação,0.31
2024-02-01,3.Artigos de residência,0
2024-02-01,4.Vestuário,-0.44
2024-02-01,5.Transportes,1.04
2024-02-01,6.Saúde e cuidados pessoais,0.62
2024-02-01,7.Despesas pessoais,0.12
2024-02-01,8.Educação,4.73
2024-02-01,9.Comunicação,1.37
2024-03-01,1.Alimentação e bebidas,0.5
2024-03-01,2.Habitação,0.15
2024-03-01,3.Artigos de residência,0
2024-03-01,4.Vestuário,0.08
2024-03-01,5.Transportes,-0.08
2024-03-01,6.Saúde e cuidados pessoais,0.32
2024-03-01,7.Despesas pessoais,0.29
2024-03-01,8.Educação,0.14
2024-03-01,9.Comunicação,-0.18
2024-04-01,1.Alimentação e bebidas,0.57
2024-04-01,2.Habitação,-0.12
2024-04-01,3.Artigos de residência,-0.06
2024-04-01,4.Vestuário,0.51
2024-04-01,5.Transportes,0.32
2024-04-01,6.Saúde e cuidados pessoais,1.08
2024-04-01,7.Despesas pessoais,0.07
2024-04-01,8.Educação,0.09
2024-04-01,9.Comunicação,0.53
2024-05-01,1.Alimentação e bebidas,0.64
2024-05-01,2.Habitação,0.62
2024-05-01,3.Artigos de residência,-0.5
2024-05-01,4.Vestuário,0.49
2024-05-01,5.Transportes,0.36
2024-05-01,6.Saúde e cuidados pessoais,0.77
2024-05-01,7.Despesas pessoais,0.24
2024-05-01,8.Educação,0.1
2024-05-01,9.Comunicação,0.18
2024-06-01,1.Alimentação e bebidas,0.44
2024-06-01,2.Habitação,0.29
2024-06-01,3.Artigos de residência,0.18
2024-06-01,4.Vestuário,0.05
2024-06-01,5.Transportes,0
2024-06-01,6.Saúde e cuidados pessoais,0.54
2024-06-01,7.Despesas pessoais,0.28
