data,grupo,valor
2025-03-01,9.Comunicação,0.32
2025-04-01,1.Alimentação e bebidas,1.14
2025-04-01,2.Habitação,0.09
2025-04-01,3.Artigos de residência,0.37
2025-04-01,4.Vestuário,0.76
2025-04-01,5.Transportes,-0.44
2025-04-01,6.Saúde e cuidados pessoais,0.96
2025-04-01,7.Despesas pessoais,0.53
2025-04-01,8.Educação,0.06
2025-04-01,9.Comunicação,0.52
2025-05-01,1.Alimentação e bebidas,0.39
2025-05-01,2.Habitação,0.67
2025-05-01,3.Artigos de residência,-0.07
2025-05-01,4.Vestuário,0.92
2025-05-01,5.Transportes,-0.29
2025-05-01,6.Saúde e cuidados pessoais,0.91
2025-05-01,7.Despesas pessoais,0.5
2025-05-01,8.Educação,0.09
2025-05-01,9.Comunicação,0.27
2025-06-01,1.Alimentação e bebidas,-0.02
2025-06-01,2.Habitação,1.08
2025-06-01,3.Artigos de residência,0.11
2025-06-01,4.Vestuário,0.51
2025-06-01,5.Transportes,0.06
2025-06-01,6.Saúde e cuidados pessoais,0.29
2025-06-01,7.Despesas pessoais,0.19
2025-06-01,8.Educação,-0.02
2025-06-01,9.Comunicação,0.02
2025-07-01,1.Alimentação e bebidas,-0.06
2025-07-01,2.Habitação,0.98
2025-07-01,3.Artigos de residência,-0.02
2025-07-01,4.Vestuário,-0.1
2025-07-01,5.Transportes,0.67
2025-07-01,6.Saúde e cuidados pessoais,0.21
2025-07-01,7.Despesas pessoais,0.25
2025-07-01,8.Educação,0
2025-07-01,9.Comunicação,0.11
2025-08-01,1.Alimentação e bebidas,-0.53
2025-08-01,2.Habitação,-1.13
2025-08-01,3.Artigos de residência,0.03
2025-08-01,4.Vestuário,0.17
2025-08-01,5.Transportes,-0.47
2025-08-01,6.Saúde e cuidados pessoais,0.64
2025-08-01,7.Despesas pessoais,1.09
2025-08-01,8.Educação,0.78
2025-08-01,9.Comunicação,-0.17
2025-09-01,1.Alimentação e bebidas,-0.35
2025-09-01,2.Habitação,3.31
2025-09-01,3.Artigos de residência,-0.16
2025-09-01,4.Vestuário,0.97
2025-09-01,5.Transportes,-0.25
2025-09-01,6.Saúde e cuidados pessoais,0.36
2025-09-01,7.Despesas pessoais,0.2
2025-09-01,8.Educação,0.03
2025-09-01,9.Comunicação,-0.08
2025-10-01,1.Alimentação e bebidas,-0.02
