mes,ipca,ipca_15,inpc,igp_di,igp_m
2018 jun,1.26,1.11,1.43,1.48,1.87
2018 jul,0.33,0.64,0.25,0.44,0.51
2018 ago,-0.09,0.13,0,0.68,0.7
2018 set,0.48,0.09,0.3,1.79,1.52
2018 out,0.45,0.58,0.4,0.26,0.89
2018 nov,-0.21,0.19,-0.25,-1.14,-0.49
2018 dez,0.15,-0.16,0.14,-0.45,-1.08
2019 jan,0.32,0.3,0.36,0.07,0.01
2019 fev,0.43,0.34,0.54,1.25,0.88
2019 mar,0.75,0.54,0.77,1.07,1.26
2019 abr,0.57,0.72,0.6,0.9,0.92
2019 mai,0.13,0.35,0.15,0.4,0.45
2019 jun,0.01,0.06,0.01,0.63,0.8
2019 jul,0.19,0.09,0.1,-0.01,0.4
2019 ago,0.11,0.08,0.12,-0.51,-0.67
2019 set,-0.04,0.09,-0.05,0.5,-0.01
2019 out,0.1,0.09,0.04,0.55,0.68
2019 nov,0.51,0.14,0.54,0.85,0.3
2019 dez,1.15,1.05,1.22,1.74,2.09
2020 jan,0.21,0.71,0.19,0.09,0.48
2020 fev,0.25,0.22,0.17,0.01,-0.04
2020 mar,0.07,0.02,0.18,1.64,1.24
2020 abr,-0.31,-0.01,-0.23,0.05,0.8
2020 mai,-0.38,-0.59,-0.25,1.07,0.28
2020 jun,0.26,0.02,0.3,1.6,1.56
2020 jul,0.36,0.3,0.44,2.34,2.23
2020 ago,0.24,0.23,0.36,3.87,2.74
2020 set,0.64,0.45,0.87,3.3,4.34
2020 out,0.86,0.94,0.89,3.68,3.23
2020 nov,0.89,0.81,0.95,2.64,3.28
2020 dez,1.35,1.06,1.46,0.76,0.96
2021 jan,0.25,0.78,0.27,2.91,2.58
2021 fev,0.86,0.48,0.82,2.71,2.53
2021 mar,0.93,0.93,0.86,2.17,2.94
2021 abr,0.31,0.6,0.38,2.22,1.51
2021 mai,0.83,0.44,0.96,3.4,4.1
2021 jun,0.53,0.83,0.6,0.11,0.6
2021 jul,0.96,0.72,1.02,1.45,0.78
2021 ago,0.87,0.89,0.88,-0.14,0.66
2021 set,1.16,1.14,1.2,-0.55,-0.64
2021 out,1.25,1.2,1.16,1.6,0.64
2021 nov,0.95,1.17,0.84,-0.58,0.02
2021 dez,0.73,0.78,0.73,1.25,0.87
2022 jan,0.54,0.58,0.67,2.01,1.82
2022 fev,1.01,0.99,1,1.5,1.83
2022 mar,1.62,0.95,1.71,2.37,1.74
2022 abr,1.06,1.73,1.04,0.41,1.41
2022 mai,0.47,0.59,0.45,0.69,0.52
2022 jun,0.67,0.69,0.62,0.62,0.59
2022 jul,-0.68,0.13,-0.6,-0.38,0.21
2022 ago,-0.36,-0.73,-0.31,-0.55,-0.7
2022 set,-0.29,-0.37,-0.32,-1.22,-0.95
2022 out,0.59,0.16,0.47,-0.62,-0.97
2022 nov,0.41,0.53,0.38,-0.18,-0.56
2022 dez,0.62,0.52,0.69,0.31,0.45
2023 jan,0.53,0.55,0.46,0.06,0.21
2023 fev,0.84,0.76,0.77,0.04,-0.06
2023 mar,0.71,0.69,0.64,-0.34,0.05
2023 abr,0.61,0.57,0.53,-1.01,-0.95
2023 mai,0.23,0.51,0.36,-2.33,-1.84
2023 jun,-0.08,0.04,-0.1,-1.45,-1.93
2023 jul,0.12,-0.07,-0.09,-0.4,-0.72
2023 ago,0.23,0.28,0.2,0.05,-0.14
2023 set,0.26,0.35,0.11,0.45,0.37
2023 out,0.24,0.21,0.12,0.51,0.5
2023 nov,0.28,0.33,0.1,0.5,0.59
2023 dez,0.56,0.4,0.55,0.64,0.74
2024 jan,0.42,0.31,0.57,-0.27,0.07
2024 fev,0.83,0.78,0.81,-0.41,-0.52
2024 mar,0.16,0.36,0.19,-0.3,-0.47
2024 abr,0.38,0.21,0.37,0.72,0.31
2024 mai,0.46,0.44,0.46,0.87,0.89
2024 jun,0.21,0.39,0.25,0.5,0.81
2024 jul,0.38,0.3,0.26,0.83,0.61
2024 ago,-0.02,0.19,-0.14,0.12,0.29
2024 set,0.44,0.13,0.48,1.03,0.62
2024 out,0.56,0.54,0.61,1.54,1.52
2024 nov,0.39,0.62,0.33,1.18,1.3
2024 dez,0.52,0.34,0.48,0.87,0.94
2025 jan,0.16,0.11,0,0.11,0.27
2025 fev,1.31,1.23,1.48,1,1.06
2025 mar,0.56,0.64,0.51,-0.5,-0.34
2025 abr,0.43,0.43,0.48,0.3,0.24
2025 mai,0.26,0.36,0.35,-0.85,-0.49
2025 jun,0.24,0.26,0.23,-1.8,-1.67
2025 jul,0.26,0.33,0.21,-0.07,-0.77
2025 ago,-0.11,-0.14,-0.21,0.2,0.36
2025 set,0.48,0.48,0.52,0.36,0.42
2025 out,0.09,0.18,0.03,-0.03,-0.36
2025 nov,0.18,0.2,0.03,0.01,0.27
2025 dez,0.33,0.25,0.21,0.1,-0.01
2026 jan,0.33,0.2,0.39,0.2,0.41
2026 fev,0.7,0.84,0.56,-0.84,-0.73
2026 mar,0.88,0.44,0.91,1.14,0.52
2026 abr,0.67,0.89,0.81,2.41,2.73
2026 mai,0.58,0.62,0.65,0.87,0.84
2026 jun,0.16,0.41,0.14,-0.79,-0.5
2026 jul,0.07,0.06,-0.01,-0.86,-1.16
