mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2024 jun,0.98,0.63,-0.01,0.3,-0.23,0.57,0.25,0.05,0.17,4.552045864902365,3.019175038955635,-1.0111873024325368,2.329101893895036,4.153548205765811,6.0557060813326125,4.591880461823283,6.931788997664801,0.8574105350148686
2024 jul,-0.44,0.49,0.24,-0.08,1.12,0.33,0.32,0.06,0.09,4.510057091462638,4.5063284843998686,-0.3751146103999847,2.2063560699519424,4.660705501014029,6.331258030779474,4.529362900280076,6.878381851027249,1.1200863512935921
2024 ago,-0.8,0.18,0.71,0.09,0.83,0.27,0.43,0.75,0.09,4.3522663661106575,3.5758210087770026,0.32218985688050594,2.32904050256566,5.287228730592086,5.7616827968084205,4.352722823808408,6.920831809065575,1.1706261785383365
2024 set,0.05,0.5,0.17,0.12,-0.08,0.32,-0.04,0.05,0.07,5.214594879868706,3.782353054656906,0.9672838135609485,2.0334980093305033,3.1199754436459504,5.920056086411307,3.9471666513990034,6.920831809065575,1.3935359207444042
2024 out,0.87,1.72,0.41,0.43,-0.33,0.49,0.35,0.05,0.4,6.459987817557988,5.293646047473599,1.330584385004041,2.1351959042864577,1.9842027432843024,6.1418671332615915,3.9886170219109562,6.899462601149309,2.095186104129354
2024 nov,1.34,0.22,0.11,0.36,0.82,0.18,0.83,-0.01,0.11,7.009077221100246,5.314662743291465,1.1991700197800936,1.942200506754732,2.6357288937704393,6.247924154777662,4.309314109821738,6.856715640197142,2.4328430635838005
2024 dez,1.47,-1.32,-0.52,0.34,0.46,-0.05,1.36,0,0.08,7.998916507111997,3.4280545333200907,0.824170591564588,2.2581265505125625,2.3199893288496254,6.04633532324772,5.1391415888179415,6.80331398320555,2.988536606424219
2025 jan,1.06,-3.43,0.72,0.46,1.01,0.64,0.4,0.25,0.15,7.498970769316826,-0.44804917489564833,1.286759046303465,2.503007316548511,4.53466291197635,6.130699949598739,4.971855762900956,6.65437022428883,3.173971602814696
2025 fev,0.61,4.34,0.38,-0.08,0.44,0.54,0.01,4.78,-0.06,7.115692275933094,3.7272872887096797,1.2161759389541338,2.8220107526305327,4.837359389704465,5.898973530494822,4.501645379730501,6.359997259931327,1.418380269354791
2025 mar,1.09,0.37,0.03,0.28,0.92,0.35,0.81,0.07,0.32,7.306761789456684,3.9136423312485347,1.837196531619223,3.3372543422909295,5.348862985253189,5.625305573851058,5.4219040401344065,6.285649348924771,1.783632539232416
2025 abr,1.14,0.09,0.37,0.76,-0.44,0.96,0.53,0.06,0.52,7.872039433313294,3.9344105219812686,2.183339157039099,3.697457897910894,5.401796792400826,5.813959622306064,5.558406505525038,6.296272602233,2.1392706683003304
2025 mai,0.39,0.67,-0.07,0.92,-0.29,0.91,0.5,0.09,0.27,8.011909422604457,4.3698464563377115,2.5630884086271344,3.9653035074227017,4.293074904934868,5.646449643681661,5.895586482384352,6.275036707197068,2.231030843586268
2025 jun,-0.02,1.08,0.11,0.51,0.06,0.29,0.19,-0.02,0.02,6.942272767597468,4.836570404517682,2.6861764235189822,4.182977622443262,4.59622206061725,5.352316145618308,5.8322075777564875,6.2006813591760634,2.077944544030119
2025 jul,-0.06,0.98,-0.02,-0.1,0.67,0.21,0.25,0,0.11,7.350449381214252,5.347764747220585,2.4198315924125025,4.1621243442962585,4.130752322412334,5.226309189199729,5.758361340411544,6.1369991596802675,2.09834177543069
2025 ago,-0.53,-1.13,0.03,0.17,-0.47,0.64,1.09,0.78,-0.17,7.642633064005877,3.970188665978247,1.7282867062756502,4.245379114478531,2.788195761675105,5.614598152997519,6.453377953820594,6.168603228908953,1.833124782108575
2025 set,-0.35,3.31,-0.16,0.97,-0.25,0.36,0.2,0.03,-0.08,7.2122777094271395,6.877215831663808,1.3931530872971942,5.1304028085187525,2.6133159250109284,5.65670923679058,6.708968297047058,6.1473801198177025,1.6804819449214525
2025 out,-0.02,0.16,-0.64,0.45,0.41,0.24,0.42,0.09,-0.09,6.266318284807437,5.238123650210835,0.33287213179811204,5.15133886404171,3.375168576606269,5.393855447267271,6.7834040497206205,6.1898178529990355,1.1842325808476106
2025 nov,0.09,0.09,-0.2,0.19,0.22,0.29,0.85,0.05,-0.19,4.95555355364492,5.101614409794464,0.022181987348424137,4.973222805782562,2.759962256967663,5.509580383374257,6.804584929230639,6.253538115737101,0.8810134241774126
2025 dez,0.13,0.17,-0.64,0.69,0.69,-0.01,0.46,0,0.01,3.56952377378994,6.688576362273113,-0.09847203193666942,5.339384137076397,2.995227947980039,5.551805327999926,5.856241140395713,6.253538115737101,0.810453162989444
2026 jan,0.31,-0.26,0.43,0.28,-0.13,0.81,0.28,0.05,0.73,2.8008997600323715,10.190728035343488,-0.38611543057387454,5.15064146193529,1.8328226429538352,5.730102296459383,5.729719736642225,6.0415609823391225,1.3942780539982769
2026 fev,0.2,0.06,0.21,-0.42,1.72,0.67,0.2,5.2,0.39,2.3819715331999225,5.670732674108381,-0.5548179647121732,4.792843042228956,3.130572672652976,5.866813190616305,5.930586117503767,6.4666178215506465,1.8508262341493609
2026 mar,0.88,0.24,0.37,0.47,0.21,0.36,0.82,0.05,0.03,2.1692876473361045,5.533867124166814,-0.2168057494567721,4.991393502719821,2.4050206849638656,5.877362947785292,5.941094061766994,6.445339392886407,1.5564009988233485
2026 abr,1.46,0.42,0.48,0.76,1.34,0.93,0.32,0.05,0.48,2.4925442426213307,5.881815731929585,-0.10744885628591883,4.991393502719821,4.23588585992607,5.845901766243755,5.719790672201963,6.434701241837737,1.5159885829861608
2026 mai,1.38,1.03,0.21,0.36,-0.33,1.05,0.5,0.01,0.36,3.503278566759138,6.260453396213839,0.17244621346530487,4.40880154511456,4.19407024028513,5.992749712406398,5.719790672201963,6.349630044921506,1.6071069531115256
2026 jun,0.74,0.72,0.36,0.45,-0.03,0.47,0.34,-0.02,0.34,4.290060840321219,5.882003027964577,0.42260215746057206,4.346474133984235,4.100351808128178,6.182984979613826,5.878069628193883,6.349630044921506,1.9321846798161513
2026 jul,-0.66,0.97,0.19,-0.33,0.11,0.28,0.08,-0.04,-0.02,3.6639448056585033,5.8715175850027945,0.6335318079213392,4.106237006348423,3.5212696882061634,6.257157307211592,5.698525769472762,6.307090192903542,1.799818442593315
