mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2024 nov,1.55,-1.53,-0.31,-0.12,0.89,-0.06,1.43,-0.04,-0.1,7.625270656457439,4.011305069705262,1.419446892302778,2.3185255331102272,3.0982655489003585,6.056409053444645,4.979544766812283,6.850721887130229,2.598110051386482
2024 dez,1.18,-0.56,0.65,1.14,0.67,0.38,0.62,0.11,0.37,7.699781278017626,3.0783752853447144,1.30872697211466,2.765597541397913,3.2932164889311055,6.0881150053290645,5.125814036988974,6.712148524746708,2.9365484392009256
2025 jan,0.96,-3.08,-0.09,-0.14,1.3,0.7,0.51,0.26,-0.17,7.253599505115993,-0.34557473660238314,0.9953593273196448,2.478256146235225,5.320612283127524,5.951335723858353,4.802574577045848,6.6376957150513505,2.843831371951855
2025 fev,0.7,4.44,0.44,0,0.61,0.49,0.13,4.7,0.17,6.98798880797602,3.7988249178143807,1.5107964658859663,2.931153220405003,5.205587785995425,5.782908364535766,4.886374736627719,6.353274350979965,1.4362602257622648
2025 mar,1.17,0.24,0.13,0.59,0.46,0.43,0.7,0.1,0.24,7.669102036237274,3.850625908391181,1.6834338748415778,3.507394805963604,6.039463720087279,5.782908364535766,5.273177872803836,6.310792515808794,1.8120629321158432
2025 abr,0.82,0.14,0.53,1.02,-0.38,1.18,0.54,0.05,0.69,7.797406825158326,4.006417426405573,2.488827024642304,3.9912185310635673,5.488829396795425,5.80382234404635,5.735917116200806,6.310792515808794,2.0248469012215775
2025 mai,0.17,1.19,-0.27,0.41,-0.37,0.54,0.35,0.05,0.07,7.315307510197866,4.543651329869691,2.7567177959945344,3.898092066707415,4.638113030692237,5.646204175890568,5.873072067558871,6.2683064362740515,1.953529352958272
2025 jun,-0.18,0.99,0.08,0.75,0.27,0.07,0.23,0,0.11,6.652867340381841,5.315345115247294,2.6438997606860193,4.656396477912139,5.1203646286695825,5.152333915669072,5.8097319107730305,6.204583686062426,2.1473961521682794
2025 jul,-0.27,0.91,0.09,-0.54,0.35,0.45,0.76,0.02,-0.09,7.439297574305859,5.46165997399628,2.2455008663123444,4.112074351801787,3.602716465203226,5.393653380851693,6.062361593011234,6.1409118733009915,1.8720937269228743
2025 ago,-0.46,-0.9,-0.09,0.72,-0.27,0.54,0.4,0.75,-0.09,7.417714750365656,5.04825111491638,1.403096997749298,4.454309480162122,3.322989130747178,5.698532777165388,6.221058393399792,6.161986212995885,1.6787301124561838
2025 set,-0.26,2.97,-0.4,0.63,0.01,0.17,0.51,0.07,-0.17,6.605401683596712,6.25558366702299,1.189745125496744,4.923509313123531,3.1888570298185037,5.3934105941534805,7.09477960799092,6.183207999345308,1.5566545985642888
2025 out,0.01,-0.3,-0.34,0.51,0.11,0.41,0.45,0.06,-0.16,5.49778569539392,4.381532087912032,0.41392013548746664,5.069860725934494,3.6964111348637863,5.424908923679528,6.828903789698981,6.204436149685044,0.8696418137749351
2025 nov,-0.01,0.52,-1,0.49,0.22,-0.04,0.77,0.01,-0.2,3.877140243056987,6.554601457062237,-0.2810904462507757,5.711556911785709,3.007774050312717,5.4460065640485,6.133773389411101,6.257559617146868,0.7686712013487362
2025 dez,0.27,-0.33,0.64,0.45,0.74,0.52,0.36,0.08,0.37,2.9428825081174503,6.801057192532123,-0.2909979385064876,4.990368714542948,3.079399600958621,5.593072124109932,5.859525912952668,6.225717375727258,0.7686712013487362
2026 jan,0.23,-0.11,0.2,-0.25,0.6,0.7,0.41,0.02,0.82,2.198545104879268,10.07385062899333,-0.0015813576053402834,4.874717397112538,2.3671036511000887,5.593072124109932,5.754203531186719,5.971436783565132,1.767979870980474
2026 fev,0.26,0.3,0.13,0.16,0.74,0.59,0.33,5.21,0.15,1.7519973407665868,5.710524876369494,-0.3102184521806217,5.042516944947928,2.499374036495605,5.698150313107964,5.965437334305035,6.487630028642677,1.7476608173973673
2026 mar,1.56,0.22,0.51,0.46,1.64,0.42,0.65,0.02,0.19,2.1442408809751345,5.68943339095922,0.0681108895568272,4.906762623416516,3.703328459779165,5.6876257536821795,5.912822916562099,6.4025250296188,1.6969087918499826
2026 abr,1.34,0.63,0.65,0.52,0.06,1.16,0.35,0.06,0.57,2.6710709271773547,6.206587598684088,0.18755954475175862,4.387525033714423,4.161363638682025,5.666734742463819,5.712669382106683,6.413159964654236,1.575708781372076
2026 mai,1.33,1.22,0.08,0.62,-0.46,0.9,0.41,0,0.23,3.860034112517541,6.238074876359345,0.5391653388023165,4.605843729631953,4.0672702659280136,6.045091859106799,5.775875761408389,6.359979974666929,1.7381162302080977
