mes,1.Alimentação e bebidas,2.Habitação,3.Artigos de residência,4.Vestuário,5.Transportes,6.Saúde e cuidados pessoais,7.Despesas pessoais,8.Educação,9.Comunicação,1.Alimentação e bebidas_acum12m,2.Habitação_acum12m,3.Artigos de residência_acum12m,4.Vestuário_acum12m,5.Transportes_acum12m,6.Saúde e cuidados pessoais_acum12m,7.Despesas pessoais_acum12m,8.Educação_acum12m,9.Comunicação_acum12m
2023 jan,0.52,0.19,0.71,-0.27,0.65,-0.24,0.81,0.41,2.07,11.289481384020172,0.4515633762524951,6.864171200614155,16.60166165145789,-1.6941034877760885,11.976612794957052,7.781750828450074,7.782960096762981,-0.8516535419841542
2023 fev,0.04,0.9,0.13,-0.17,0.6,1.61,0.37,5.9,0.87,9.959503384270407,0.8814844696314994,5.069810117021745,15.365152454559382,-1.6060771154141396,12.753380498420231,7.42854350200135,8.283990838129206,-0.2782559854416333
2023 mar,-0.07,0.54,-0.27,0.24,2.23,0.72,0.29,0.14,0.44,7.317640132729175,0.18396334034720407,4.181866802252721,13.619599941491757,-2.351123808453426,12.118871396987752,7.086856453789014,8.229951517419497,0.24071225802884122
2023 abr,0.61,0.46,0.17,0.75,0.41,1.3,0.16,0.12,0.06,5.5860333830812126,1.8672161657012243,2.816725099326667,12.93581979188334,-3.4568367625719687,11.414966377426495,6.7139542574023325,8.262391307064053,0.22068014127065716
2023 mai,0.16,0.78,-0.23,0.52,-0.14,1.02,0.88,0.06,0.24,5.092885855603835,4.384118405484183,1.9583009955255193,11.24261249858025,-4.6503779953559254,11.172855624729582,7.07483295690019,8.219129612236053,-0.3064307099238994
2023 jun,-0.66,0.51,-0.34,0.31,-0.34,0.15,0.35,0.07,-0.16,3.591260973364596,4.363351645630309,0.9654638037964292,9.797761091533875,-5.372004292144705,10.379314868808077,7.01085038566811,8.143482127985436,-0.5554405243161309
2023 jul,-0.59,-1.16,0.04,-0.24,1.17,0.1,0.35,0.18,-0.02,1.6484774786514,4.01607014877583,0.8042415063053365,8.82687179822572,0.18328093097237375,10.192175310338957,6.269558002986608,8.229910485330482,-0.6448780215961403
2023 ago,-0.91,1.22,-0.07,0.55,0.37,0.57,0.29,0.73,-0.11,0.46227442010340347,5.358817376754632,0.3423433979987234,7.659798891298686,3.9209994526839376,9.075069596070762,6.058055250467964,8.315935252730666,0.2989705348434679
2023 set,-0.74,0.44,-0.57,0.38,1.07,-0.16,0.41,0.03,-0.14,0.23002672569569782,5.065921538137741,-0.15971976320411363,6.147633952544562,7.275001681981053,8.36953874486721,5.553467416983748,8.229377717816867,2.7056521493998176
2023 out,0.23,0.01,0.28,0.51,-0.05,0.23,0.21,0.06,-0.23,-0.1386125376095504,4.657796942521464,-0.19952848738147289,5.309433309350053,7.2320873898790605,7.171967127755696,5.227944387743122,8.121321230478795,3.1917715503083643
2023 nov,0.57,0.42,-0.5,-0.33,-0.3,-0.23,0.55,0.04,-0.52,-0.11874950678659735,4.647375972996182,-0.06896532650153553,3.830163398386799,5.925285968205118,7.3548911680339835,5.5533699938904,8.088907523704393,2.9537401847826272
2023 dez,1.2,0.34,0.64,0.7,0.24,0.27,0.56,0.22,0.11,0.3373292625888036,4.730876771697967,-0.019292876619092514,2.9813597381812995,6.041652506270645,5.451361064055327,5.354311529385791,8.09969376335349,2.61548118178605
2024 jan,1.51,0.16,0.24,0.12,-0.1,0.81,0.99,0.44,-0.1,1.3255301775306982,4.699517092057759,-0.4858893650312779,3.3840743706679444,5.251476258086796,6.561264122568344,5.542425566438558,8.131991251779947,0.4338842956836064
2024 fev,0.95,0.31,0,-0.44,1.04,0.62,0.12,4.73,1.37,2.2472238246873832,4.087299895979357,-0.6150897483584106,3.1044620288861235,5.711820687048608,5.523023285235951,5.279542171085261,6.937331858346685,0.9317225245707217
2024 mar,0.5,0.15,0,0.08,-0.08,0.32,0.29,0.14,-0.18,2.8304412526876987,3.6835397312744433,-0.3460240131940351,2.9398898628383963,3.323145094883073,5.103948530330338,5.279542171085261,6.937331858346685,0.3086872003449814
2024 abr,0.57,-0.12,-0.06,0.51,0.32,1.08,0.07,0.09,0.53,2.789558461214603,3.0849288110660122,-0.5748391721933976,2.6946732517507455,3.2305339699100877,4.875687240333559,5.184941943495414,6.905289110087076,0.7798553293092425
2024 mai,0.64,0.62,-0.5,0.49,0.36,0.77,0.24,0.1,0.18,3.2821601790798516,2.921269467845433,-0.8439059600405252,2.6640242247157886,3.7474102665749687,4.616145349519041,4.517630654401095,6.94802558384684,0.7195321916420694
2024 jun,0.44,0.29,0.18,0.05,0,0.54,0.28,0.05,-0.12,4.425812043353927,2.6959915921820343,-0.3265352104842467,2.3979226765308947,4.101354873143648,5.023537228563613,4.444723488025293,6.926650940980084,0.7598845683214117
2024 jul,-0.95,0.75,0.46,0.01,1.36,0.18,0.65,0.07,0.19,4.0476479518580355,4.680505391666734,0.09192595716465135,2.6545333488357414,4.2968600369856835,5.107472123451595,4.756964813848996,6.809242959312001,0.971522653531931
2024 ago,-0.63,-0.6,0.6,0.26,0.05,0.14,0.2,0.67,0.1,4.341656847069686,2.7982833030198995,0.7630116210423754,2.3584635858206804,3.964340407496425,4.658071576438716,4.662956170582011,6.745621847651506,1.1837963521728279
2024 set,0.49,1.93,-0.2,0.16,0.03,0.49,-0.39,0.05,-0.06,5.634627206951737,4.323267792481289,1.137972038419277,2.13412744327357,2.8945579396642662,5.339439229931164,3.829071448577559,6.766964569204581,1.2648568739850985
2024 out,1.11,1.61,0.39,0.4,-0.45,0.31,0.71,0.07,0.43,6.562078787737136,5.9922731766225645,1.2489131724861657,2.022349968208781,2.4827738158436974,5.42351740152045,4.347128885203544,6.777634863484927,1.9347456735924862
2024 nov,1.62,-1.64,-0.38,-0.11,0.66,-0.17,1.82,0.03,-0.09,7.674639021674912,3.8179644458533835,1.3710224145032424,2.2475422727437966,3.4695688295168114,5.486917331801,5.665088643375693,6.766961369396207,2.3753562550123286
2024 dez,1.12,-0.59,0.67,1.13,0.54,0.24,0.77,0.13,0.42,7.589520729958199,2.855728977100691,1.4012403265902362,2.6841504472947753,3.779234338783133,5.455356470925832,5.885749628012804,6.671082038691312,2.692371143026029
2025 jan,0.99,-3.46,-0.06,-0.11,1.13,0.78,0.49,0.3,-0.17,7.038377485158898,-0.8617005246675191,1.097764946522628,2.4482599698389285,5.056996683494885,5.4239740615009024,5.36151084383607,6.522396739155112,2.6204145266095047
2025 fev,0.75,4.79,0.44,-0.07,1.11,0.54,0.09,4.45,0.17,6.826315320750442,3.565969514705314,1.542595112287315,2.828993760405818,5.1297796384419,5.3401545631415415,5.329940275265188,6.2376046921106765,1.4056123422163669
2025 mar,1.08,0.21,0.21,0.46,0.26,0.44,0.7,0.08,0.19,7.442825399218478,3.628016026646219,1.7558345620231064,3.21943158643454,5.48750707115877,5.466159532714654,5.760544278783586,6.1739512441225886,1.7814896871033659
2025 abr,0.76,0.12,0.49,0.86,-0.15,1.24,0.64,0.09,0.63,7.645809756639688,3.877022072365044,2.315827647965807,3.5788664790347813,4.993297259322205,5.633102404946899,6.362957691783544,6.1739512441225886,1.8827345788641203
2025 mai,0.26,1.33,-0.25,0.33,-0.19,0.52,0.34,0.04,0.1,7.239356977351896,4.610004438409354,2.5729025918049153,3.4139483912982493,4.4179055346049045,5.371037548330482,6.469065989560674,6.110310514106132,1.8013748387332607
2025 jun,-0.19,1.05,0.09,0.74,0.28,-0.17,0.23,0,0.11,6.566708680898969,5.4027415345624386,2.4807528490093045,4.127148035376194,4.710275670101782,4.626921408890294,6.4159800970648995,6.057281873169562,2.035799310228148
2025 jul,-0.38,0.86,0.14,-0.52,0.19,0.57,0.97,0.06,-0.11,7.17996485402479,5.517821450878069,2.154316049171756,3.575329332658961,3.501603387800878,5.034233241087027,6.754312075515578,6.046683563798805,1.7302724134014236
